index,operator
536,FULLY_CONNECTED
537,RESHAPE
538,LOGISTIC
539,MUL
540,FULLY_CONNECTED
541,ADD
542,RESHAPE
543,MEAN
544,RESHAPE
545,SQUARED_DIFFERENCE
546,MEAN
547,ADD
548,RSQRT
549,MUL
550,SUB
551,RESHAPE
552,MUL
553,RESHAPE
554,ADD
555,MUL
556,ADD
557,RESHAPE
558,TRANSPOSE
559,RESHAPE
560,TRANSPOSE
561,RESHAPE
562,TRANSPOSE
563,CONV_2D
564,LOGISTIC
565,MUL
566,QUANTIZE
567,CONCATENATION
568,CONV_2D
569,LOGISTIC
570,MUL
571,CONV_2D
572,LOGISTIC
573,MUL
574,PAD
575,DEPTHWISE_CONV_2D
576,LOGISTIC
577,MUL
578,CONV_2D
579,CONV_2D
580,LOGISTIC
581,MUL
582,PAD
583,DEPTHWISE_CONV_2D
584,LOGISTIC
585,MUL
586,CONV_2D
587,ADD
588,CONV_2D
589,LOGISTIC
590,MUL
591,PAD
592,DEPTHWISE_CONV_2D
593,LOGISTIC
594,MUL
595,CONV_2D
596,ADD
597,CONV_2D
598,LOGISTIC
599,MUL
600,PAD
601,DEPTHWISE_CONV_2D
602,LOGISTIC
603,MUL
604,CONV_2D
605,ADD
606,CONV_2D
607,LOGISTIC
608,MUL
609,PAD
610,DEPTHWISE_CONV_2D
611,LOGISTIC
612,MUL
613,CONV_2D
614,ADD
615,CONV_2D
616,LOGISTIC
617,MUL
618,PAD
619,DEPTHWISE_CONV_2D
620,LOGISTIC
621,MUL
622,CONV_2D
623,ADD
624,CONV_2D
625,LOGISTIC
626,MUL
627,PAD
628,DEPTHWISE_CONV_2D
629,LOGISTIC
630,MUL
631,CONV_2D
632,ADD
633,CONV_2D
634,LOGISTIC
635,MUL
636,PAD
637,DEPTHWISE_CONV_2D
638,LOGISTIC
639,MUL
640,CONV_2D
641,ADD
642,CONV_2D
643,LOGISTIC
644,MUL
645,CONV_2D
646,TRANSPOSE
647,RESHAPE
648,TRANSPOSE
649,RESHAPE
650,TRANSPOSE
651,RESHAPE
652,RESHAPE
653,MEAN
654,RESHAPE
655,SQUARED_DIFFERENCE
656,MEAN
657,ADD
658,RSQRT
659,MUL
660,SUB
661,RESHAPE
662,MUL
663,RESHAPE
664,ADD
665,FULLY_CONNECTED
666,RESHAPE
667,TRANSPOSE
668,FULLY_CONNECTED
669,RESHAPE
670,FULLY_CONNECTED
671,RESHAPE
672,TRANSPOSE
673,TRANSPOSE
674,RESHAPE
675,RESHAPE
676,BATCH_MATMUL
677,MUL
678,RESHAPE
679,SOFTMAX
680,RESHAPE
681,RESHAPE
682,BATCH_MATMUL
683,RESHAPE
684,TRANSPOSE
685,RESHAPE
686,FULLY_CONNECTED
687,ADD
688,RESHAPE
689,MEAN
690,RESHAPE
691,SQUARED_DIFFERENCE
692,MEAN
693,ADD
694,RSQRT
695,MUL
696,SUB
697,RESHAPE
698,MUL
699,RESHAPE
700,ADD
701,FULLY_CONNECTED
702,RESHAPE
703,LOGISTIC
704,MUL
705,FULLY_CONNECTED
706,ADD
707,RESHAPE
708,MEAN
709,RESHAPE
710,SQUARED_DIFFERENCE
711,MEAN
712,ADD
713,RSQRT
714,MUL
715,SUB
716,RESHAPE
717,MUL
718,RESHAPE
719,ADD
720,FULLY_CONNECTED
721,RESHAPE
722,TRANSPOSE
723,FULLY_CONNECTED
724,RESHAPE
725,FULLY_CONNECTED
726,RESHAPE
727,TRANSPOSE
728,TRANSPOSE
729,RESHAPE
730,RESHAPE
731,BATCH_MATMUL
732,MUL
733,RESHAPE
734,SOFTMAX
735,RESHAPE
736,RESHAPE
737,BATCH_MATMUL
738,RESHAPE
739,TRANSPOSE
740,RESHAPE
741,FULLY_CONNECTED
742,ADD
743,RESHAPE
744,MEAN
745,RESHAPE
746,SQUARED_DIFFERENCE
747,MEAN
748,ADD
749,RSQRT
750,MUL
751,SUB
752,RESHAPE
753,MUL
754,RESHAPE
755,ADD
756,FULLY_CONNECTED
757,RESHAPE
758,LOGISTIC
759,MUL
760,FULLY_CONNECTED
761,ADD
762,RESHAPE
763,MEAN
764,RESHAPE
765,SQUARED_DIFFERENCE
766,MEAN
767,ADD
768,RSQRT
769,MUL
770,SUB
771,RESHAPE
772,MUL
773,RESHAPE
774,ADD
775,FULLY_CONNECTED
776,RESHAPE
777,TRANSPOSE
778,FULLY_CONNECTED
779,RESHAPE
780,FULLY_CONNECTED
781,RESHAPE
782,TRANSPOSE
783,TRANSPOSE
784,RESHAPE
785,RESHAPE
786,BATCH_MATMUL
787,MUL
788,RESHAPE
789,SOFTMAX
790,RESHAPE
791,RESHAPE
792,BATCH_MATMUL
793,RESHAPE
794,TRANSPOSE
795,RESHAPE
796,FULLY_CONNECTED
797,ADD
798,RESHAPE
799,MEAN
800,RESHAPE
801,SQUARED_DIFFERENCE
802,MEAN
803,ADD
804,RSQRT
805,MUL
806,SUB
807,RESHAPE
808,MUL
809,RESHAPE
810,ADD
811,FULLY_CONNECTED
812,RESHAPE
813,LOGISTIC
814,MUL
815,FULLY_CONNECTED
816,ADD
817,RESHAPE
818,MEAN
819,RESHAPE
820,SQUARED_DIFFERENCE
821,MEAN
822,ADD
823,RSQRT
824,MUL
825,SUB
826,RESHAPE
827,MUL
828,RESHAPE
829,ADD
830,MUL
831,ADD
832,RESHAPE
833,TRANSPOSE
834,RESHAPE
835,TRANSPOSE
836,RESHAPE
837,TRANSPOSE
838,CONV_2D
839,LOGISTIC
840,MUL
841,QUANTIZE
842,CONCATENATION
843,CONV_2D
844,LOGISTIC
845,MUL
846,CONV_2D
847,LOGISTIC
848,MUL
849,AVERAGE_POOL_2D
850,FULLY_CONNECTED
