configuration,block,group,channel,estimated_effective_levels
g8_4_4,4,1,40,15
g8_4_4,4,1,41,43
g8_4_4,4,1,42,53
g8_4_4,4,1,43,40
g8_4_4,4,1,44,50
g8_4_4,4,1,45,64
g8_4_4,4,1,46,24
g8_4_4,4,1,47,12
g8_4_4,5,1,13,73
g8_4_4,5,1,35,77
g8_4_4,5,1,14,79
g8_4_4,5,1,11,80
g8_4_4,5,1,0,93
g8_4_4,5,1,25,110
g8_4_4,5,1,3,120
g8_4_4,5,1,41,120
g8_4_4,5,1,4,131
g8_4_4,5,1,9,147
g8_4_4,5,1,5,179
g8_4_4,5,1,7,227
g8_4_4,5,2,28,92
g8_4_4,5,2,17,106
g8_4_4,5,2,12,110
g8_4_4,5,2,21,139
g8_4_4,5,2,22,151
g8_4_4,5,2,47,156
g8_4_4,5,2,2,181
g8_4_4,5,2,44,186
g8_4_4,5,2,30,192
g8_4_4,5,2,36,196
g8_4_4,5,2,32,241
g8_4_4,5,2,16,256
g8_4_4,5,3,15,115
g8_4_4,5,3,18,134
g8_4_4,5,3,33,141
g8_4_4,5,3,8,144
g8_4_4,5,3,42,148
g8_4_4,5,3,24,163
g8_4_4,5,3,40,203
g8_4_4,5,3,46,204
g8_4_4,5,3,31,218
g8_4_4,5,3,26,232
g8_4_4,5,3,38,242
g8_4_4,5,3,27,255
g8_4_4,5,4,45,25
g8_4_4,5,4,37,26
g8_4_4,5,4,6,31
g8_4_4,5,4,10,32
g8_4_4,5,4,23,39
g8_4_4,5,4,39,40
g8_4_4,5,4,20,41
g8_4_4,5,4,29,41
g8_4_4,5,4,19,45
g8_4_4,5,4,1,46
g8_4_4,5,4,43,49
g8_4_4,5,4,34,256
g8_4_4,6,1,0,5
g8_4_4,6,1,1,8
g8_4_4,6,1,2,4
g8_4_4,6,1,3,24
g8_4_4,6,1,4,25
g8_4_4,6,1,5,24
g8_4_4,6,1,6,56
g8_4_4,6,1,7,104
g8_4_4,6,1,8,39
g8_4_4,6,1,9,48
g8_4_4,6,1,10,44
g8_4_4,6,1,11,50
g8_4_4,6,1,12,58
g8_4_4,6,1,13,69
g8_4_4,6,1,14,43
g8_4_4,6,1,15,11
g8_4_4,6,1,16,30
g8_4_4,6,1,17,5
g8_4_4,6,1,18,95
g8_4_4,6,1,19,3
g8_4_4,6,1,20,58
g8_4_4,6,1,21,28
g8_4_4,6,1,22,67
g8_4_4,6,1,23,11
g8_4_4,6,1,24,255
g8_4_4,6,1,25,134
g8_4_4,6,1,26,63
g8_4_4,6,1,27,56
g8_4_4,6,1,28,18
g8_4_4,6,1,29,60
g8_4_4,6,1,30,43
g8_4_4,6,1,31,34
g8_4_4,6,1,32,103
g8_4_4,6,1,33,111
g8_4_4,6,1,34,10
g8_4_4,6,1,35,26
g8_4_4,6,1,36,50
g8_4_4,6,1,37,5
g8_4_4,6,1,38,59
g8_4_4,6,1,39,57
g8_4_4,6,1,40,82
g8_4_4,6,1,41,44
g8_4_4,6,1,42,38
g8_4_4,6,1,43,22
g8_4_4,6,1,44,13
g8_4_4,6,1,45,69
g8_4_4,6,1,46,50
g8_4_4,6,1,47,64
g8_4_4,6,1,48,5
g8_4_4,6,1,49,10
g8_4_4,6,1,50,66
g8_4_4,6,1,51,94
g8_4_4,6,1,52,40
g8_4_4,6,1,53,50
g8_4_4,6,1,54,244
g8_4_4,6,1,55,9
g8_4_4,6,1,56,87
g8_4_4,6,1,57,37
g8_4_4,6,1,58,9
g8_4_4,6,1,59,55
g8_4_4,6,1,60,61
g8_4_4,6,1,61,11
g8_4_4,6,1,62,33
g8_4_4,6,1,63,146
g8_4_4,6,1,64,57
g8_4_4,6,1,65,76
g8_4_4,6,1,66,22
g8_4_4,6,1,67,46
g8_4_4,6,1,68,68
g8_4_4,6,1,69,61
g8_4_4,6,1,70,76
g8_4_4,6,1,71,83
g8_4_4,6,1,72,49
g8_4_4,6,1,73,44
g8_4_4,6,1,74,36
g8_4_4,6,1,75,62
g8_4_4,6,1,76,82
g8_4_4,6,1,77,21
g8_4_4,6,1,78,64
g8_4_4,6,1,79,40
g8_4_4,6,1,80,91
g8_4_4,6,1,81,56
g8_4_4,6,1,82,5
g8_4_4,6,1,83,122
g8_4_4,6,1,84,69
g8_4_4,6,1,85,9
g8_4_4,6,1,86,35
g8_4_4,6,1,87,86
g8_4_4,6,1,88,68
g8_4_4,6,1,89,62
g8_4_4,6,1,90,11
g8_4_4,6,1,91,7
g8_4_4,6,1,92,75
g8_4_4,6,1,93,71
g8_4_4,6,1,94,36
g8_4_4,6,1,95,41
g8_4_4,7,1,0,22
g8_4_4,7,1,1,68
g8_4_4,7,1,2,60
g8_4_4,7,1,3,62
g8_4_4,7,1,4,5
g8_4_4,7,1,5,63
g8_4_4,7,1,6,57
g8_4_4,7,1,7,78
g8_4_4,7,1,8,36
g8_4_4,7,1,9,3
g8_4_4,7,1,10,50
g8_4_4,7,1,11,241
g8_4_4,7,1,12,13
g8_4_4,7,1,13,33
g8_4_4,7,1,14,45
g8_4_4,7,1,15,45
g8_4_4,7,1,16,40
g8_4_4,7,1,17,84
g8_4_4,7,1,18,4
g8_4_4,7,1,19,69
g8_4_4,7,1,20,48
g8_4_4,7,1,21,35
g8_4_4,7,1,22,3
g8_4_4,7,1,23,70
g8_4_4,7,1,24,43
g8_4_4,7,1,25,64
g8_4_4,7,1,26,59
g8_4_4,7,1,27,43
g8_4_4,7,1,28,2
g8_4_4,7,1,29,48
g8_4_4,7,1,30,43
g8_4_4,7,1,31,64
g8_4_4,7,1,32,37
g8_4_4,7,1,33,43
g8_4_4,7,1,34,58
g8_4_4,7,1,35,35
g8_4_4,7,1,36,4
g8_4_4,7,1,37,68
g8_4_4,7,1,38,20
g8_4_4,7,1,39,45
g8_4_4,7,1,40,4
g8_4_4,7,1,41,72
g8_4_4,7,1,42,37
g8_4_4,7,1,43,52
g8_4_4,7,1,44,136
g8_4_4,7,1,45,25
g8_4_4,7,1,46,39
g8_4_4,7,1,47,58
g8_4_4,7,1,48,76
g8_4_4,7,1,49,70
g8_4_4,7,1,50,90
g8_4_4,7,1,51,15
g8_4_4,7,1,52,106
g8_4_4,7,1,53,4
g8_4_4,7,1,54,36
g8_4_4,7,1,55,49
g8_4_4,7,1,56,9
g8_4_4,7,1,57,35
g8_4_4,7,1,58,54
g8_4_4,7,1,59,49
g8_4_4,7,1,60,47
g8_4_4,7,1,61,105
g8_4_4,7,1,62,255
g8_4_4,7,1,63,3
g8_4_4,7,1,64,3
g8_4_4,7,1,65,45
g8_4_4,7,1,66,1
g8_4_4,7,1,67,34
g8_4_4,7,1,68,2
g8_4_4,7,1,69,33
g8_4_4,7,1,70,41
g8_4_4,7,1,71,44
g8_4_4,7,1,72,42
g8_4_4,7,1,73,1
g8_4_4,7,1,74,56
g8_4_4,7,1,75,2
g8_4_4,7,1,76,2
g8_4_4,7,1,77,55
g8_4_4,7,1,78,2
g8_4_4,7,1,79,12
g8_4_4,7,1,80,69
g8_4_4,7,1,81,74
g8_4_4,7,1,82,72
g8_4_4,7,1,83,66
g8_4_4,7,1,84,40
g8_4_4,7,1,85,52
g8_4_4,7,1,86,65
g8_4_4,7,1,87,77
g8_4_4,7,1,88,45
g8_4_4,7,1,89,42
g8_4_4,7,1,90,52
g8_4_4,7,1,91,36
g8_4_4,7,1,92,44
g8_4_4,7,1,93,52
g8_4_4,7,1,94,43
g8_4_4,7,1,95,65
g8_4_4,7,1,96,59
g8_4_4,7,1,97,58
g8_4_4,7,1,98,58
g8_4_4,7,1,99,3
